Product_ID,SKU,Product_Name,Brand,Category,Sub_Category,Price,Cost,Profit_Margin,Rating,Launch_Year,Is_Active
1,HKH-0001,Prestige Pressure Cooker,Prestige,Home & Kitchen,Cookware,24599,15220.81,38.12,3.8,2024,True
2,HKH-0002,Milton Cookware Set,Milton,Home & Kitchen,Cookware,14125,7880.98,44.21,3.6,2020,True
3,SPO-0003,Yonex Dumbbell Set,Yonex,Sports,Fitness,7015,5113.97,27.1,4.6,2022,True
4,ELE-0004,Sony Bluetooth Speaker,Sony,Electronics,Tablet,109093,83709.79,23.27,4.6,2020,True
5,ELE-0005,Dell Bluetooth Speaker,Dell,Electronics,Headphones,23379,14116.91,39.62,4.6,2019,True
6,ELE-0006,Dell Tablet,Dell,Electronics,Mobile,114082,72554.89,36.4,3.9,2019,True
7,ELE-0007,Apple Laptop,Apple,Electronics,Tablet,52615,29974.77,43.03,3.9,2024,True
8,HKH-0008,Bajaj Cookware Set,Bajaj,Home & Kitchen,Appliances,6600,4792.54,27.39,3.6,2020,True
9,BEA-0009,Nivea Lipstick,Nivea,Beauty,Skincare,1027,662.45,35.5,4.2,2025,True
10,BEA-0010,Maybelline Moisturizer,Maybelline,Beauty,Haircare,1916,1374.81,28.25,4.6,2024,True
11,BEA-0011,L'Oreal Shampoo,L'Oreal,Beauty,Makeup,2205,1302.83,40.91,4.1,2024,True
12,BEA-0012,Lakme Sunscreen,Lakme,Beauty,Makeup,2856,2172.6,23.93,4.7,2020,True
13,FAS-0013,Adidas Hoodie,Adidas,Fashion,Jeans,4886,2768.15,43.35,4.9,2023,True
14,SPO-0014,Cosco Football,Cosco,Sports,Badminton,21977,14830.25,32.52,4.8,2024,True
15,FAS-0015,Levi's Casual T-Shirt,Levi's,Fashion,Jeans,4540,3342.56,26.38,4.3,2024,True
16,FAS-0016,Puma Hoodie,Puma,Fashion,Accessories,6430,3889.06,39.52,5.0,2023,True
17,FAS-0017,Puma Running Shoes,Puma,Fashion,Shoes,3004,2123.41,29.31,4.7,2022,True
18,ELE-0018,Lenovo Gaming Mouse,Lenovo,Electronics,Smartwatch,81104,64804.56,20.1,4.3,2023,True
19,FAS-0019,Puma Sneakers,Puma,Fashion,Shoes,2376,1711.74,27.96,4.3,2021,True
20,FAS-0020,Puma Running Shoes,Puma,Fashion,Jeans,5308,3496.33,34.13,4.2,2024,True
21,FAS-0021,Levi's Sports Jacket,Levi's,Fashion,Jeans,3427,2319.81,32.31,3.7,2024,True
