Campaign_Performance_ID,Date_ID,Campaign_ID,Channel_ID,Geography_ID,Impressions,Clicks,Leads,Conversions,Spend,Revenue
1,20250913,10,6,25,243292,16113,2108,275,34005.46,533785.25
2,20251121,7,1,6,97063,2277,305,30,15519.72,101516.24
3,20250929,20,5,26,26271,425,98,21,8396.52,90864.74
4,20250427,18,6,7,222212,4800,563,140,59505.04,626484.61
5,20250817,20,6,14,231006,12914,2193,387,38027.81,939308.52
6,20250104,3,3,20,242170,4798,1376,176,38172.0,682274.18
7,20251109,17,4,6,101040,2799,179,52,30937.36,226012.81
8,20250515,18,1,1,20266,391,113,21,1824.8,90430.53
9,20250330,7,3,12,32869,1568,465,110,9270.23,496263.48
10,20250610,19,3,19,217344,15516,1558,246,83460.19,1076009.23
11,20250820,5,5,7,37543,2654,728,113,7967.46,502390.29
12,20250410,5,2,16,225588,7453,476,95,81980.83,238094.39
13,20250110,6,2,19,201801,7831,1402,257,63390.55,561235.81
14,20251006,13,1,15,20252,273,34,2,5786.58,5993.36
15,20250929,3,2,5,116438,6317,325,84,38164.03,214886.72
16,20250312,6,4,5,190795,10549,2079,161,50639.22,584636.98
17,20251007,2,5,8,36158,896,247,62,7060.85,125662.95
18,20250805,12,3,30,15400,1058,279,47,1586.01,155162.69
19,20250121,7,2,3,189044,4090,462,86,43130.71,316362.21
20,20251018,8,1,16,239070,6787,1220,73,92215.52,222569.58
21,20250611,1,1,21,101379,1098,153,39,18725.64,99627.52
22,20250324,7,3,19,154979,3351,596,48,58339.94,224602.42
23,20250928,14,2,24,28267,1656,395,89,9916.33,333918.72
24,20250918,2,1,18,215908,11044,3022,739,18842.08,2372682.12
25,20251108,10,1,17,75717,872,155,29,28910.96,100077.8
26,20251001,13,6,23,9341,97,5,0,2772.38,0.0
27,20250115,7,5,10,74298,4361,667,192,15204.81,948504.07
28,20250325,19,2,4,109922,5976,578,99,39827.13,128741.3
29,20251127,10,1,11,111920,4866,1249,101,20162.2,189014.96
30,20250726,16,6,17,36690,1681,454,89,7673.81,369972.14
31,20250724,15,4,7,200454,10482,2814,750,47102.66,3662712.66
32,20251004,16,1,11,207839,10295,2311,429,23336.41,1969866.33
33,20250923,20,3,14,6475,299,46,2,2513.8,8511.68
34,20251114,9,3,20,166117,2005,492,143,29402.36,257661.74
35,20250711,19,3,7,36910,1293,95,26,4218.89,58239.85
36,20250203,11,6,20,153814,7446,740,138,40715.37,111625.37
37,20250717,12,6,23,119308,1371,227,52,19012.18,132283.84
38,20250927,11,2,27,60222,3458,961,125,6465.86,139119.28
39,20251014,14,3,5,242721,16478,3327,509,89561.22,1374694.56
40,20251113,14,4,26,16153,1116,117,6,2671.79,18896.69
41,20251222,6,2,17,8343,535,116,16,1634.0,46490.19
42,20251107,13,2,5,159673,6156,1164,148,28960.48,279558.33
43,20251213,19,3,20,105043,2932,791,90,17361.24,101380.54
44,20250703,8,1,9,16857,532,138,40,2472.83,92258.33
45,20250625,13,3,28,198858,4870,409,109,16411.36,109287.81
46,20250216,6,5,3,99664,4356,341,26,24728.6,95766.92
47,20250129,14,3,27,24650,1061,245,34,2481.43,90653.07
48,20250131,17,1,10,222346,6151,599,50,80229.62,60132.91
49,20251027,8,1,25,73091,1947,519,104,26643.72,258369.23
50,20251207,2,4,13,140314,11084,2498,388,46081.95,1122919.05
51,20251108,19,1,8,180615,3801,922,193,67853.66,720258.02
52,20251203,9,6,3,241202,7997,1151,279,34927.77,1089687.86
53,20250317,11,1,7,77292,5218,1401,208,8900.29,194486.73
54,20250208,17,5,26,106544,2928,252,58,31757.93,59146.29
55,20250628,2,5,22,222173,4765,1401,340,86367.92,397718.51
56,20251013,3,6,8,85737,5577,1194,193,15407.4,373531.04
57,20250127,10,2,14,16214,1106,276,49,5772.21,207850.76
58,20250630,1,3,15,102304,6167,498,31,26331.63,99150.42
59,20250511,5,1,27,116906,4858,335,99,16390.19,389795.78
60,20250403,14,4,25,166011,11241,1105,93,39257.29,267299.67
61,20250430,1,4,6,109996,2342,220,56,37052.67,199253.9
62,20250610,10,1,15,143772,6639,1786,308,32830.47,572341.1
63,20250422,9,4,25,163287,4062,608,37,27772.25,181523.3
64,20250201,5,6,19,174899,1827,545,83,49212.34,215743.27
65,20250219,1,3,27,212130,6792,1496,438,20943.87,2138833.63
66,20250113,14,4,1,107543,3387,566,123,23340.47,376786.62
67,20251006,2,1,25,63326,3868,1110,59,18698.39,286489.58
68,20250404,18,1,7,101541,3869,845,179,22151.91,657145.49
69,20251112,4,5,27,205557,14320,3308,387,70056.17,361326.48
70,20251015,1,5,10,85732,973,290,23,24136.16,71900.1
71,20250528,10,3,17,169173,12182,1205,169,41721.87,778802.51
72,20250602,20,5,28,44932,564,134,22,15608.02,63382.0
73,20250613,12,2,22,245533,14688,1766,405,38215.78,404319.88
74,20251121,4,6,8,9650,554,80,8,3671.39,26168.71
75,20250918,16,2,14,72083,3573,828,43,9063.13,158175.58
76,20250403,4,2,30,181675,12301,2332,152,57871.78,183004.36
77,20250703,3,5,22,15511,393,38,8,3040.0,21769.71
78,20251226,20,2,1,162303,12337,2356,447,16999.28,841955.77
79,20251023,20,4,18,215430,9793,866,152,38783.15,254535.31
80,20250404,3,6,2,38659,2815,231,64,9450.41,139199.06
81,20250701,13,5,1,127015,10041,846,132,30943.99,142669.83
