Acquisition_ID,Date_ID,Customer_ID,Campaign_ID,Channel_ID,Geography_ID,Acquisition_Cost,First_Order_Value,Customer_Lifetime_Value
1,20250615,1,4,6,5,869.7,4495.9,21579.65
2,20250218,2,20,5,21,710.77,8502.62,18545.29
3,20250120,3,2,4,19,1047.34,8799.96,14423.98
4,20251229,4,13,4,19,374.57,1567.22,3197.68
5,20250521,5,4,1,4,1119.14,4166.73,19371.03
6,20250924,6,19,2,16,286.3,9237.74,45998.5
7,20250528,7,13,2,7,923.12,8850.91,29403.63
8,20250924,8,5,2,17,248.27,5118.82,22904.17
9,20251228,9,10,5,15,788.33,9917.48,27496.4
10,20250224,10,1,1,10,1433.35,6275.02,23969.95
11,20250426,11,5,2,15,1313.93,7944.41,31272.36
12,20250117,12,9,4,12,1119.51,560.77,2011.9
13,20250121,13,12,2,12,1222.0,8620.99,18478.02
14,20251227,14,4,2,7,961.12,3928.47,19626.69
15,20250625,15,8,4,12,431.46,9448.4,30936.59
16,20250604,16,5,3,7,283.21,745.26,1785.41
17,20250502,17,10,3,18,365.04,7736.74,13125.58
18,20250623,18,7,1,5,142.76,5761.69,16686.4
19,20250216,19,1,3,25,1072.26,1623.22,4717.8
20,20250827,20,2,1,7,808.59,1471.95,6682.03
21,20250820,21,9,5,7,1329.7,3037.26,11202.74
22,20250522,22,15,4,8,1023.2,4690.9,18383.39
23,20250321,23,10,1,7,806.91,887.74,2428.0
24,20250312,24,9,1,23,118.29,8577.24,42166.37
25,20250705,25,7,1,10,291.64,4869.35,7862.12
26,20250210,26,19,1,26,126.45,9427.07,15631.1
27,20250128,27,10,3,28,519.63,4547.46,16874.66
28,20250219,28,8,4,18,1126.88,1816.93,6252.8
29,20250424,29,13,1,5,1393.02,5412.21,10346.02
30,20251209,30,14,4,19,504.36,566.15,849.99
31,20250325,31,13,5,3,217.56,726.81,1229.79
32,20250813,32,18,3,19,1440.78,9865.98,27132.38
33,20250731,33,1,6,25,1234.0,9433.58,15370.66
34,20251203,34,10,2,21,1218.04,5527.31,10603.13
35,20250917,35,16,2,20,393.07,4070.08,20159.21
36,20250901,36,7,4,29,1407.6,6153.74,15597.79
37,20251108,37,12,5,7,608.86,2486.2,12270.64
38,20250917,38,14,3,11,1321.14,8146.51,22478.79
39,20250502,39,2,6,26,1017.29,7170.84,19989.68
40,20251013,40,19,1,2,395.76,8798.36,22076.91
41,20251101,41,3,4,22,260.6,5674.61,24173.87
42,20251106,42,16,6,11,1015.23,3285.94,11536.24
43,20251015,43,7,3,19,759.46,7582.18,16788.75
44,20250121,44,11,5,6,143.53,3077.82,5580.21
45,20250512,45,4,3,22,828.84,3617.99,8396.51
46,20250108,46,9,4,18,1247.59,2748.54,5630.53
47,20250406,47,17,5,12,910.6,1552.07,3172.63
48,20251019,48,1,4,26,490.92,1217.76,3983.39
49,20250403,49,2,2,10,779.02,7189.07,30759.47
50,20250515,50,4,1,30,863.86,9908.87,48520.88
51,20251206,51,6,4,28,660.52,2425.95,4393.77
52,20250225,52,1,6,23,382.24,9508.82,31762.57
53,20250129,53,17,1,3,421.33,5692.51,24571.13
54,20250318,54,11,3,9,1043.49,5951.09,27046.73
55,20250429,55,8,2,4,1064.74,6599.09,10934.18
56,20250527,56,3,3,30,1202.35,2418.26,5587.89
57,20250820,57,3,1,5,1127.1,8924.95,24578.08
58,20250122,58,4,3,22,1230.22,1184.54,3856.24
59,20250716,59,18,1,19,634.86,9341.77,39063.69
60,20251114,60,19,4,22,656.35,4175.12,16186.17
61,20250426,61,18,2,29,524.26,2707.31,7876.73
62,20250527,62,7,4,9,1102.14,2141.78,6545.24
63,20250128,63,11,6,28,714.57,3663.87,16224.68
64,20250313,64,6,6,26,529.65,9032.29,19477.46
65,20250728,65,20,4,4,841.7,5541.99,20947.77
66,20251118,66,9,5,12,411.12,6776.93,32275.99
67,20250901,67,7,3,25,1297.0,846.86,1467.13
68,20250614,68,6,2,28,779.75,8786.08,35185.75
69,20250417,69,5,6,19,103.1,6593.8,14857.36
70,20251003,70,18,4,23,552.42,3607.11,10178.81
71,20250805,71,3,3,9,1369.78,3039.93,8314.8
72,20250921,72,5,1,11,951.75,6856.11,14196.93
73,20250523,73,7,2,23,906.51,4837.66,18758.74
74,20250616,74,12,3,4,496.0,2254.17,9913.37
75,20250419,75,16,5,7,1052.35,8921.5,37647.2
76,20250607,76,2,4,4,635.23,3351.04,5461.64
77,20250330,77,5,1,8,1216.58,1228.21,2616.9
78,20251219,78,6,6,6,906.61,870.83,3939.82
79,20251126,79,5,4,5,468.41,3011.53,8357.21
80,20250706,80,3,5,30,1481.66,6632.48,25314.75
